# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-11-17 19:39:36 -05:00	(nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01116500 PAWTUXET RIVER AT CRANSTON, RI
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 01116500
#    TS_ID       Parameter Description
#    66424       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	66424_00060	66424_00060_cd
USGS	01116500	2020-01-01 08:30	EST	561	A
USGS	01116500	2020-01-01 08:45	EST	559	A
USGS	01116500	2020-01-01 09:00	EST	559	A
USGS	01116500	2020-01-01 09:15	EST	556	A
USGS	01116500	2020-01-01 09:30	EST	556	A
USGS	01116500	2020-01-01 09:45	EST	553	A
USGS	01116500	2020-01-01 10:00	EST	553	A
USGS	01116500	2020-01-01 10:15	EST	553	A
USGS	01116500	2020-01-01 10:30	EST	551	A
USGS	01116500	2020-01-01 10:45	EST	551	A
USGS	01116500	2020-01-01 11:00	EST	548	A
USGS	01116500	2020-01-01 11:15	EST	546	A
USGS	01116500	2020-01-01 11:30	EST	546	A
USGS	01116500	2020-01-01 11:45	EST	546	A
USGS	01116500	2020-01-01 12:00	EST	548	A
USGS	01116500	2020-01-01 12:15	EST	546	A
USGS	01116500	2020-01-01 12:30	EST	546	A
USGS	01116500	2020-01-01 12:45	EST	548	A
USGS	01116500	2020-01-01 13:00	EST	546	A
USGS	01116500	2020-01-01 13:15	EST	546	A
USGS	01116500	2020-01-01 13:30	EST	546	A
USGS	01116500	2020-01-01 13:45	EST	546	A
USGS	01116500	2020-01-01 14:00	EST	546	A
USGS	01116500	2020-01-01 14:15	EST	546	A
USGS	01116500	2020-01-01 14:30	EST	543	A
USGS	01116500	2020-01-01 14:45	EST	543	A
USGS	01116500	2020-01-01 15:00	EST	543	A
USGS	01116500	2020-01-01 15:15	EST	540	A
USGS	01116500	2020-01-01 15:30	EST	540	A
USGS	01116500	2020-01-01 15:45	EST	540	A
USGS	01116500	2020-01-01 16:00	EST	538	A
USGS	01116500	2020-01-01 16:15	EST	538	A
USGS	01116500	2020-01-01 16:30	EST	535	A
USGS	01116500	2020-01-01 16:45	EST	533	A
USGS	01116500	2020-01-01 17:00	EST	533	A
USGS	01116500	2020-01-01 17:15	EST	530	A
USGS	01116500	2020-01-01 17:30	EST	530	A
USGS	01116500	2020-01-01 17:45	EST	527	A
USGS	01116500	2020-01-01 18:00	EST	527	A
USGS	01116500	2020-01-01 18:15	EST	525	A
USGS	01116500	2020-01-01 18:30	EST	525	A
USGS	01116500	2020-01-01 18:45	EST	522	A
USGS	01116500	2020-01-01 19:00	EST	522	A
USGS	01116500	2020-01-01 19:15	EST	522	A
USGS	01116500	2020-01-01 19:30	EST	522	A
USGS	01116500	2020-01-01 19:45	EST	519	A
USGS	01116500	2020-01-01 20:00	EST	519	A
USGS	01116500	2020-01-01 20:15	EST	517	A
USGS	01116500	2020-01-01 20:30	EST	517	A
USGS	01116500	2020-01-01 20:45	EST	514	A
USGS	01116500	2020-01-01 21:00	EST	514	A
USGS	01116500	2020-01-01 21:15	EST	511	A
USGS	01116500	2020-01-01 21:30	EST	511	A
USGS	01116500	2020-01-01 21:45	EST	509	A
USGS	01116500	2020-01-01 22:00	EST	509	A
USGS	01116500	2020-01-01 22:15	EST	509	A
USGS	01116500	2020-01-01 22:30	EST	506	A
USGS	01116500	2020-01-01 22:45	EST	506	A
USGS	01116500	2020-01-01 23:00	EST	506	A
USGS	01116500	2020-01-01 23:15	EST	506	A
USGS	01116500	2020-01-01 23:30	EST	503	A
USGS	01116500	2020-01-01 23:45	EST	503	A
USGS	01116500	2020-01-02 00:00	EST	503	A
USGS	01116500	2020-01-02 00:15	EST	501	A
USGS	01116500	2020-01-02 00:30	EST	498	A
USGS	01116500	2020-01-02 00:45	EST	498	A
USGS	01116500	2020-01-02 01:00	EST	495	A
USGS	01116500	2020-01-02 01:15	EST	495	A
USGS	01116500	2020-01-02 01:30	EST	493	A
USGS	01116500	2020-01-02 01:45	EST	490	A
USGS	01116500	2020-01-02 02:00	EST	490	A
USGS	01116500	2020-01-02 02:15	EST	487	A
USGS	01116500	2020-01-02 02:30	EST	485	A
USGS	01116500	2020-01-02 02:45	EST	485	A
USGS	01116500	2020-01-02 03:00	EST	482	A
USGS	01116500	2020-01-02 03:15	EST	482	A
USGS	01116500	2020-01-02 03:30	EST	482	A
USGS	01116500	2020-01-02 03:45	EST	479	A
USGS	01116500	2020-01-02 04:00	EST	479	A
USGS	01116500	2020-01-02 04:15	EST	479	A
USGS	01116500	2020-01-02 04:30	EST	477	A
USGS	01116500	2020-01-02 04:45	EST	477	A
USGS	01116500	2020-01-02 05:00	EST	477	A
USGS	01116500	2020-01-02 05:15	EST	474	A
USGS	01116500	2020-01-02 05:30	EST	474	A
USGS	01116500	2020-01-02 05:45	EST	474	A
USGS	01116500	2020-01-02 06:00	EST	471	A
USGS	01116500	2020-01-02 06:15	EST	471	A
USGS	01116500	2020-01-02 06:30	EST	471	A
USGS	01116500	2020-01-02 06:45	EST	471	A
USGS	01116500	2020-01-02 07:00	EST	471	A
USGS	01116500	2020-01-02 07:15	EST	469	A
USGS	01116500	2020-01-02 07:30	EST	469	A
USGS	01116500	2020-01-02 07:45	EST	469	A
USGS	01116500	2020-01-02 08:00	EST	469	A
USGS	01116500	2020-01-02 08:15	EST	469	A
USGS	01116500	2020-01-02 08:30	EST	469	A
USGS	01116500	2020-01-02 08:45	EST	471	A
USGS	01116500	2020-01-02 09:00	EST	471	A
USGS	01116500	2020-01-02 09:15	EST	471	A
USGS	01116500	2020-01-02 09:30	EST	474	A
USGS	01116500	2020-01-02 09:45	EST	474	A
USGS	01116500	2020-01-02 10:00	EST	474	A
USGS	01116500	2020-01-02 10:15	EST	474	A
USGS	01116500	2020-01-02 10:30	EST	474	A
USGS	01116500	2020-01-02 10:45	EST	474	A
USGS	01116500	2020-01-02 11:00	EST	474	A
USGS	01116500	2020-01-02 11:15	EST	471	A
USGS	01116500	2020-01-02 11:30	EST	469	A
USGS	01116500	2020-01-02 11:45	EST	469	A
USGS	01116500	2020-01-02 12:00	EST	469	A
USGS	01116500	2020-01-02 12:15	EST	469	A
USGS	01116500	2020-01-02 12:30	EST	469	A
USGS	01116500	2020-01-02 12:45	EST	471	A
USGS	01116500	2020-01-02 13:00	EST	471	A
USGS	01116500	2020-01-02 13:15	EST	471	A
USGS	01116500	2020-01-02 13:30	EST	471	A
USGS	01116500	2020-01-02 13:45	EST	471	A
USGS	01116500	2020-01-02 14:00	EST	469	A
USGS	01116500	2020-01-02 14:15	EST	469	A
USGS	01116500	2020-01-02 14:30	EST	469	A
USGS	01116500	2020-01-02 14:45	EST	469	A
USGS	01116500	2020-01-02 15:00	EST	469	A
USGS	01116500	2020-01-02 15:15	EST	469	A
USGS	01116500	2020-01-02 15:30	EST	469	A
USGS	01116500	2020-01-02 15:45	EST	469	A
USGS	01116500	2020-01-02 16:00	EST	469	A
USGS	01116500	2020-01-02 16:15	EST	469	A
USGS	01116500	2020-01-02 16:30	EST	469	A
USGS	01116500	2020-01-02 16:45	EST	469	A
USGS	01116500	2020-01-02 17:00	EST	466	A
USGS	01116500	2020-01-02 17:15	EST	466	A
USGS	01116500	2020-01-02 17:30	EST	466	A
USGS	01116500	2020-01-02 17:45	EST	466	A
USGS	01116500	2020-01-02 18:00	EST	466	A
USGS	01116500	2020-01-02 18:15	EST	463	A
USGS	01116500	2020-01-02 18:30	EST	463	A
USGS	01116500	2020-01-02 18:45	EST	463	A
USGS	01116500	2020-01-02 19:00	EST	463	A
USGS	01116500	2020-01-02 19:15	EST	463	A
USGS	01116500	2020-01-02 19:30	EST	463	A
USGS	01116500	2020-01-02 19:45	EST	463	A
USGS	01116500	2020-01-02 20:00	EST	463	A
USGS	01116500	2020-01-02 20:15	EST	463	A
USGS	01116500	2020-01-02 20:30	EST	463	A
USGS	01116500	2020-01-02 20:45	EST	463	A
USGS	01116500	2020-01-02 21:00	EST	463	A
USGS	01116500	2020-01-02 21:15	EST	463	A
USGS	01116500	2020-01-02 21:30	EST	463	A
USGS	01116500	2020-01-02 21:45	EST	463	A
USGS	01116500	2020-01-02 22:00	EST	463	A
USGS	01116500	2020-01-02 22:15	EST	463	A
USGS	01116500	2020-01-02 22:30	EST	463	A
USGS	01116500	2020-01-02 22:45	EST	466	A
USGS	01116500	2020-01-02 23:00	EST	466	A
USGS	01116500	2020-01-02 23:15	EST	466	A
USGS	01116500	2020-01-02 23:30	EST	469	A
USGS	01116500	2020-01-02 23:45	EST	471	A
USGS	01116500	2020-01-03 00:00	EST	471	A
USGS	01116500	2020-01-03 00:15	EST	474	A
USGS	01116500	2020-01-03 00:30	EST	479	A
USGS	01116500	2020-01-03 00:45	EST	479	A
USGS	01116500	2020-01-03 01:00	EST	482	A
USGS	01116500	2020-01-03 01:15	EST	485	A
USGS	01116500	2020-01-03 01:30	EST	490	A
USGS	01116500	2020-01-03 01:45	EST	493	A
USGS	01116500	2020-01-03 02:00	EST	495	A
USGS	01116500	2020-01-03 02:15	EST	501	A
USGS	01116500	2020-01-03 02:30	EST	503	A
USGS	01116500	2020-01-03 02:45	EST	506	A
USGS	01116500	2020-01-03 03:00	EST	511	A
USGS	01116500	2020-01-03 03:15	EST	517	A
USGS	01116500	2020-01-03 03:30	EST	519	A
USGS	01116500	2020-01-03 03:45	EST	522	A
USGS	01116500	2020-01-03 04:00	EST	525	A
USGS	01116500	2020-01-03 04:15	EST	530	A
USGS	01116500	2020-01-03 04:30	EST	533	A
USGS	01116500	2020-01-03 04:45	EST	538	A
USGS	01116500	2020-01-03 05:00	EST	540	A
USGS	01116500	2020-01-03 05:15	EST	543	A
USGS	01116500	2020-01-03 05:30	EST	546	A
USGS	01116500	2020-01-03 05:45	EST	551	A
USGS	01116500	2020-01-03 06:00	EST	553	A
USGS	01116500	2020-01-03 06:15	EST	556	A
USGS	01116500	2020-01-03 06:30	EST	559	A
USGS	01116500	2020-01-03 06:45	EST	561	A
USGS	01116500	2020-01-03 07:00	EST	566	A
USGS	01116500	2020-01-03 07:15	EST	569	A
USGS	01116500	2020-01-03 07:30	EST	572	A
USGS	01116500	2020-01-03 07:45	EST	574	A
USGS	01116500	2020-01-03 08:00	EST	577	A
USGS	01116500	2020-01-03 08:15	EST	579	A
USGS	01116500	2020-01-03 08:30	EST	582	A
USGS	01116500	2020-01-03 08:45	EST	585	A
USGS	01116500	2020-01-03 09:00	EST	587	A
USGS	01116500	2020-01-03 09:15	EST	590	A
USGS	01116500	2020-01-03 09:30	EST	590	A
USGS	01116500	2020-01-03 09:45	EST	595	A
USGS	01116500	2020-01-03 10:00	EST	595	A
USGS	01116500	2020-01-03 10:15	EST	598	A
USGS	01116500	2020-01-03 10:30	EST	600	A
USGS	01116500	2020-01-03 10:45	EST	600	A
USGS	01116500	2020-01-03 11:00	EST	603	A
USGS	01116500	2020-01-03 11:15	EST	605	A
USGS	01116500	2020-01-03 11:30	EST	605	A
USGS	01116500	2020-01-03 11:45	EST	605	A
USGS	01116500	2020-01-03 12:00	EST	605	A
USGS	01116500	2020-01-03 12:15	EST	608	A
USGS	01116500	2020-01-03 12:30	EST	608	A
USGS	01116500	2020-01-03 12:45	EST	608	A
USGS	01116500	2020-01-03 13:00	EST	608	A
USGS	01116500	2020-01-03 13:15	EST	608	A
USGS	01116500	2020-01-03 13:30	EST	611	A
USGS	01116500	2020-01-03 13:45	EST	611	A
USGS	01116500	2020-01-03 14:00	EST	611	A
USGS	01116500	2020-01-03 14:15	EST	613	A
USGS	01116500	2020-01-03 14:30	EST	613	A
USGS	01116500	2020-01-03 14:45	EST	613	A
USGS	01116500	2020-01-03 15:00	EST	613	A
USGS	01116500	2020-01-03 15:15	EST	616	A
USGS	01116500	2020-01-03 15:30	EST	616	A
USGS	01116500	2020-01-03 15:45	EST	618	A
USGS	01116500	2020-01-03 16:00	EST	618	A
USGS	01116500	2020-01-03 16:15	EST	621	A
USGS	01116500	2020-01-03 16:30	EST	621	A
USGS	01116500	2020-01-03 16:45	EST	624	A
USGS	01116500	2020-01-03 17:00	EST	624	A
USGS	01116500	2020-01-03 17:15	EST	626	A
USGS	01116500	2020-01-03 17:30	EST	626	A
USGS	01116500	2020-01-03 17:45	EST	629	A
USGS	01116500	2020-01-03 18:00	EST	631	A
USGS	01116500	2020-01-03 18:15	EST	631	A
USGS	01116500	2020-01-03 18:30	EST	634	A
USGS	01116500	2020-01-03 18:45	EST	634	A
USGS	01116500	2020-01-03 19:00	EST	637	A
USGS	01116500	2020-01-03 19:15	EST	637	A
USGS	01116500	2020-01-03 19:30	EST	637	A
USGS	01116500	2020-01-03 19:45	EST	639	A
USGS	01116500	2020-01-03 20:00	EST	639	A
USGS	01116500	2020-01-03 20:15	EST	639	A
USGS	01116500	2020-01-03 20:30	EST	642	A
USGS	01116500	2020-01-03 20:45	EST	642	A
USGS	01116500	2020-01-03 21:00	EST	642	A
USGS	01116500	2020-01-03 21:15	EST	644	A
USGS	01116500	2020-01-03 21:30	EST	644	A
USGS	01116500	2020-01-03 21:45	EST	647	A
USGS	01116500	2020-01-03 22:00	EST	647	A
USGS	01116500	2020-01-03 22:15	EST	647	A
USGS	01116500	2020-01-03 22:30	EST	647	A
USGS	01116500	2020-01-03 22:45	EST	647	A
USGS	01116500	2020-01-03 23:00	EST	650	A
USGS	01116500	2020-01-03 23:15	EST	650	A
USGS	01116500	2020-01-03 23:30	EST	650	A
USGS	01116500	2020-01-03 23:45	EST	650	A
USGS	01116500	2020-01-04 00:00	EST	650	A
USGS	01116500	2020-01-04 00:15	EST	647	A
USGS	01116500	2020-01-04 00:30	EST	647	A
USGS	01116500	2020-01-04 00:45	EST	647	A
USGS	01116500	2020-01-04 01:00	EST	647	A
USGS	01116500	2020-01-04 01:15	EST	644	A
USGS	01116500	2020-01-04 01:30	EST	644	A
USGS	01116500	2020-01-04 01:45	EST	642	A
USGS	01116500	2020-01-04 02:00	EST	642	A
USGS	01116500	2020-01-04 02:15	EST	639	A
USGS	01116500	2020-01-04 02:30	EST	639	A
USGS	01116500	2020-01-04 02:45	EST	639	A
USGS	01116500	2020-01-04 03:00	EST	637	A
USGS	01116500	2020-01-04 03:15	EST	637	A
USGS	01116500	2020-01-04 03:30	EST	634	A
USGS	01116500	2020-01-04 03:45	EST	631	A
USGS	01116500	2020-01-04 04:00	EST	629	A
USGS	01116500	2020-01-04 04:15	EST	629	A
USGS	01116500	2020-01-04 04:30	EST	629	A
USGS	01116500	2020-01-04 04:45	EST	626	A
USGS	01116500	2020-01-04 05:00	EST	626	A
USGS	01116500	2020-01-04 05:15	EST	624	A
USGS	01116500	2020-01-04 05:30	EST	621	A
USGS	01116500	2020-01-04 05:45	EST	621	A
USGS	01116500	2020-01-04 06:00	EST	621	A
USGS	01116500	2020-01-04 06:15	EST	618	A
USGS	01116500	2020-01-04 06:30	EST	618	A
USGS	01116500	2020-01-04 06:45	EST	618	A
USGS	01116500	2020-01-04 07:00	EST	616	A
USGS	01116500	2020-01-04 07:15	EST	616	A
USGS	01116500	2020-01-04 07:30	EST	616	A
USGS	01116500	2020-01-04 07:45	EST	613	A
USGS	01116500	2020-01-04 08:00	EST	613	A
USGS	01116500	2020-01-04 08:15	EST	613	A
USGS	01116500	2020-01-04 08:30	EST	613	A
USGS	01116500	2020-01-04 08:45	EST	613	A
USGS	01116500	2020-01-04 09:00	EST	613	A
USGS	01116500	2020-01-04 09:15	EST	613	A
USGS	01116500	2020-01-04 09:30	EST	613	A
USGS	01116500	2020-01-04 09:45	EST	613	A
USGS	01116500	2020-01-04 10:00	EST	613	A
USGS	01116500	2020-01-04 10:15	EST	613	A
USGS	01116500	2020-01-04 10:30	EST	613	A
USGS	01116500	2020-01-04 10:45	EST	613	A
USGS	01116500	2020-01-04 11:00	EST	613	A
USGS	01116500	2020-01-04 11:15	EST	613	A
USGS	01116500	2020-01-04 11:30	EST	613	A
USGS	01116500	2020-01-04 11:45	EST	613	A
USGS	01116500	2020-01-04 12:00	EST	613	A
USGS	01116500	2020-01-04 12:15	EST	616	A
USGS	01116500	2020-01-04 12:30	EST	616	A
USGS	01116500	2020-01-04 12:45	EST	618	A
USGS	01116500	2020-01-04 13:00	EST	618	A
USGS	01116500	2020-01-04 13:15	EST	618	A
USGS	01116500	2020-01-04 13:30	EST	621	A
USGS	01116500	2020-01-04 13:45	EST	624	A
USGS	01116500	2020-01-04 14:00	EST	626	A
USGS	01116500	2020-01-04 14:15	EST	626	A
USGS	01116500	2020-01-04 14:30	EST	626	A
USGS	01116500	2020-01-04 14:45	EST	626	A
USGS	01116500	2020-01-04 15:00	EST	626	A
USGS	01116500	2020-01-04 15:15	EST	629	A
USGS	01116500	2020-01-04 15:30	EST	631	A
USGS	01116500	2020-01-04 15:45	EST	629	A
USGS	01116500	2020-01-04 16:00	EST	629	A
USGS	01116500	2020-01-04 16:15	EST	631	A
USGS	01116500	2020-01-04 16:30	EST	629	A
USGS	01116500	2020-01-04 16:45	EST	629	A
USGS	01116500	2020-01-04 17:00	EST	629	A
USGS	01116500	2020-01-04 17:15	EST	629	A
USGS	01116500	2020-01-04 17:30	EST	629	A
USGS	01116500	2020-01-04 17:45	EST	629	A
USGS	01116500	2020-01-04 18:00	EST	629	A
USGS	01116500	2020-01-04 18:15	EST	629	A
USGS	01116500	2020-01-04 18:30	EST	629	A
USGS	01116500	2020-01-04 18:45	EST	629	A
USGS	01116500	2020-01-04 19:00	EST	629	A
USGS	01116500	2020-01-04 19:15	EST	629	A
USGS	01116500	2020-01-04 19:30	EST	629	A
USGS	01116500	2020-01-04 19:45	EST	629	A
USGS	01116500	2020-01-04 20:00	EST	631	A
USGS	01116500	2020-01-04 20:15	EST	631	A
USGS	01116500	2020-01-04 20:30	EST	631	A
USGS	01116500	2020-01-04 20:45	EST	631	A
USGS	01116500	2020-01-04 21:00	EST	631	A
USGS	01116500	2020-01-04 21:15	EST	631	A
USGS	01116500	2020-01-04 21:30	EST	631	A
USGS	01116500	2020-01-04 21:45	EST	631	A
USGS	01116500	2020-01-04 22:00	EST	629	A
USGS	01116500	2020-01-04 22:15	EST	629	A
USGS	01116500	2020-01-04 22:30	EST	629	A
USGS	01116500	2020-01-04 22:45	EST	629	A
USGS	01116500	2020-01-04 23:00	EST	629	A
USGS	01116500	2020-01-04 23:15	EST	629	A
USGS	01116500	2020-01-04 23:30	EST	629	A
USGS	01116500	2020-01-04 23:45	EST	629	A
USGS	01116500	2020-01-05 00:00	EST	629	A
USGS	01116500	2020-01-05 00:15	EST	629	A
USGS	01116500	2020-01-05 00:30	EST	629	A
USGS	01116500	2020-01-05 00:45	EST	629	A
USGS	01116500	2020-01-05 01:00	EST	629	A
USGS	01116500	2020-01-05 01:15	EST	629	A
USGS	01116500	2020-01-05 01:30	EST	629	A
USGS	01116500	2020-01-05 01:45	EST	631	A
USGS	01116500	2020-01-05 02:00	EST	631	A
USGS	01116500	2020-01-05 02:15	EST	631	A
USGS	01116500	2020-01-05 02:30	EST	634	A
USGS	01116500	2020-01-05 02:45	EST	634	A
USGS	01116500	2020-01-05 03:00	EST	634	A
USGS	01116500	2020-01-05 03:15	EST	637	A
USGS	01116500	2020-01-05 03:30	EST	637	A
USGS	01116500	2020-01-05 03:45	EST	639	A
USGS	01116500	2020-01-05 04:00	EST	639	A
USGS	01116500	2020-01-05 04:15	EST	642	A
USGS	01116500	2020-01-05 04:30	EST	642	A
USGS	01116500	2020-01-05 04:45	EST	644	A
USGS	01116500	2020-01-05 05:00	EST	644	A
USGS	01116500	2020-01-05 05:15	EST	644	A
USGS	01116500	2020-01-05 05:30	EST	644	A
USGS	01116500	2020-01-05 05:45	EST	644	A
USGS	01116500	2020-01-05 06:00	EST	644	A
USGS	01116500	2020-01-05 06:15	EST	644	A
USGS	01116500	2020-01-05 06:30	EST	644	A
USGS	01116500	2020-01-05 06:45	EST	644	A
USGS	01116500	2020-01-05 07:00	EST	644	A
USGS	01116500	2020-01-05 07:15	EST	644	A
USGS	01116500	2020-01-05 07:30	EST	644	A
USGS	01116500	2020-01-05 07:45	EST	644	A
USGS	01116500	2020-01-05 08:00	EST	644	A
USGS	01116500	2020-01-05 08:15	EST	644	A
USGS	01116500	2020-01-05 08:30	EST	644	A
USGS	01116500	2020-01-05 08:45	EST	644	A
USGS	01116500	2020-01-05 09:00	EST	647	A
USGS	01116500	2020-01-05 09:15	EST	647	A
USGS	01116500	2020-01-05 09:30	EST	647	A
USGS	01116500	2020-01-05 09:45	EST	647	A
USGS	01116500	2020-01-05 10:00	EST	647	A
USGS	01116500	2020-01-05 10:15	EST	647	A
USGS	01116500	2020-01-05 10:30	EST	647	A
USGS	01116500	2020-01-05 10:45	EST	647	A
USGS	01116500	2020-01-05 11:00	EST	650	A
USGS	01116500	2020-01-05 11:15	EST	650	A
USGS	01116500	2020-01-05 11:30	EST	650	A
USGS	01116500	2020-01-05 11:45	EST	652	A
USGS	01116500	2020-01-05 12:00	EST	652	A
USGS	01116500	2020-01-05 12:15	EST	652	A
USGS	01116500	2020-01-05 12:30	EST	652	A
USGS	01116500	2020-01-05 12:45	EST	652	A
USGS	01116500	2020-01-05 13:00	EST	652	A
USGS	01116500	2020-01-05 13:15	EST	655	A
USGS	01116500	2020-01-05 13:30	EST	655	A
USGS	01116500	2020-01-05 13:45	EST	655	A
USGS	01116500	2020-01-05 14:00	EST	655	A
USGS	01116500	2020-01-05 14:15	EST	655	A
USGS	01116500	2020-01-05 14:30	EST	655	A
USGS	01116500	2020-01-05 14:45	EST	655	A
USGS	01116500	2020-01-05 15:00	EST	655	A
USGS	01116500	2020-01-05 15:15	EST	655	A
USGS	01116500	2020-01-05 15:30	EST	655	A
USGS	01116500	2020-01-05 15:45	EST	655	A
USGS	01116500	2020-01-05 16:00	EST	655	A
USGS	01116500	2020-01-05 16:15	EST	655	A
USGS	01116500	2020-01-05 16:30	EST	655	A
USGS	01116500	2020-01-05 16:45	EST	655	A
USGS	01116500	2020-01-05 17:00	EST	655	A
USGS	01116500	2020-01-05 17:15	EST	655	A
USGS	01116500	2020-01-05 17:30	EST	652	A
USGS	01116500	2020-01-05 17:45	EST	652	A
USGS	01116500	2020-01-05 18:00	EST	652	A
USGS	01116500	2020-01-05 18:15	EST	652	A
USGS	01116500	2020-01-05 18:30	EST	652	A
USGS	01116500	2020-01-05 18:45	EST	652	A
USGS	01116500	2020-01-05 19:00	EST	650	A
USGS	01116500	2020-01-05 19:15	EST	650	A
USGS	01116500	2020-01-05 19:30	EST	650	A
USGS	01116500	2020-01-05 19:45	EST	650	A
USGS	01116500	2020-01-05 20:00	EST	650	A
USGS	01116500	2020-01-05 20:15	EST	650	A
USGS	01116500	2020-01-05 20:30	EST	650	A
USGS	01116500	2020-01-05 20:45	EST	650	A
USGS	01116500	2020-01-05 21:00	EST	650	A
USGS	01116500	2020-01-05 21:15	EST	647	A
USGS	01116500	2020-01-05 21:30	EST	647	A
USGS	01116500	2020-01-05 21:45	EST	647	A
USGS	01116500	2020-01-05 22:00	EST	647	A
USGS	01116500	2020-01-05 22:15	EST	647	A
USGS	01116500	2020-01-05 22:30	EST	644	A
USGS	01116500	2020-01-05 22:45	EST	644	A
USGS	01116500	2020-01-05 23:00	EST	644	A
USGS	01116500	2020-01-05 23:15	EST	642	A
USGS	01116500	2020-01-05 23:30	EST	642	A
USGS	01116500	2020-01-05 23:45	EST	639	A
USGS	01116500	2020-01-06 00:00	EST	639	A
USGS	01116500	2020-01-06 00:15	EST	639	A
USGS	01116500	2020-01-06 00:30	EST	637	A
USGS	01116500	2020-01-06 00:45	EST	637	A
USGS	01116500	2020-01-06 01:00	EST	634	A
USGS	01116500	2020-01-06 01:15	EST	634	A
USGS	01116500	2020-01-06 01:30	EST	631	A
USGS	01116500	2020-01-06 01:45	EST	631	A
USGS	01116500	2020-01-06 02:00	EST	629	A
USGS	01116500	2020-01-06 02:15	EST	629	A
USGS	01116500	2020-01-06 02:30	EST	629	A
USGS	01116500	2020-01-06 02:45	EST	626	A
USGS	01116500	2020-01-06 03:00	EST	626	A
USGS	01116500	2020-01-06 03:15	EST	624	A
USGS	01116500	2020-01-06 03:30	EST	624	A
USGS	01116500	2020-01-06 03:45	EST	621	A
USGS	01116500	2020-01-06 04:00	EST	621	A
